1|6|Laura Sanchez|local|2026-03-17 11:30|53000|abierto|6|6|||
2|9|Andres Herrera|local|2026-03-17 22:17|47000|entregado|5|5|||
3|17|Julian Ospina|local|2026-03-17 18:27|129000|entregado|8|8|||
4|17|Julian Ospina|domicilio|2026-03-17 15:42|38000|entregado|0|0|Calle 29 #8-10||
5|7|Diego Ramirez|domicilio|2026-03-17 21:39|9000|entregado|0|0|Calle 48 #21-62||
6|19|Rodrigo Mendoza|local|2026-03-17 10:42|151000|entregado|2|2|||
7|18|Paola Quintero|local|2026-03-17 10:52|56000|entregado|10|10|||
8|16|Natalia Cardenas|local|2026-03-17 22:5|80000|entregado|8|8|||
9|18|Paola Quintero|local|2026-03-17 10:15|89000|entregado|3|3|||
10|20|Luisa Fernandez|local|2026-03-17 21:32|87000|entregado|3|3|||
11|8|Sofia Torres|domicilio|2026-03-17 22:38|6000|entregado|0|0|Calle 27 #13-88||
12|6|Laura Sanchez|domicilio|2026-03-17 18:4|32000|entregado|0|0|Calle 90 #15-98||
13|14|Daniela Mendoza|local|2026-03-17 15:21|42000|entregado|9|9|||
14|14|Daniela Mendoza|local|2026-03-17 19:14|81000|entregado|8|8|||
15|20|Luisa Fernandez|domicilio|2026-03-17 19:17|57000|cancelado|0|0|Calle 44 #7-75||
16|17|Julian Ospina|domicilio|2026-03-17 13:34|94000|entregado|0|0|Calle 29 #8-10||
17|16|Natalia Cardenas|domicilio|2026-03-17 21:4|174000|entregado|0|0|Calle 76 #30-53||
18|1|Carlos Lopez|local|2026-03-17 21:48|46000|entregado|9|9|||
19|3|Juan Perez|domicilio|2026-03-17 15:49|85000|abierto|0|0|Calle 57 #37-58||
20|7|Diego Ramirez|local|2026-03-17 18:30|64000|entregado|6|6|||
21|9|Andres Herrera|domicilio|2026-03-17 20:39|106000|entregado|0|0|Calle 35 #23-50||
22|3|Juan Perez|domicilio|2026-03-17 17:57|71000|entregado|0|0|Calle 57 #37-58||
23|17|Julian Ospina|local|2026-03-17 20:54|52000|entregado|9|9|||
24|15|Felipe Restrepo|domicilio|2026-03-18 16:2|225000|entregado|0|0|Calle 15 #34-94||
25|20|Luisa Fernandez|domicilio|2026-03-18 18:0|190000|cancelado|0|0|Calle 44 #7-75||
26|9|Andres Herrera|domicilio|2026-03-18 17:52|41000|entregado|0|0|Calle 35 #23-50||
27|3|Juan Perez|domicilio|2026-03-18 16:13|44000|cancelado|0|0|Calle 57 #37-58||
28|19|Rodrigo Mendoza|domicilio|2026-03-18 18:18|25000|entregado|0|0|Calle 91 #36-98||
29|17|Julian Ospina|domicilio|2026-03-18 18:26|10000|entregado|0|0|Calle 29 #8-10||
30|17|Julian Ospina|domicilio|2026-03-18 16:40|107000|entregado|0|0|Calle 29 #8-10||
31|17|Julian Ospina|local|2026-03-18 10:38|112000|entregado|4|4|||
